Drawer #,Slot #,Size,Empty?,,
001-01,1,10x,,,
001-01,2,10x,,,
001-01,3,10x,,,
001-01,4,10x,,,
001-01,5,10x,,,
001-01,6,10x,,,
001-01,7,10x,,,
001-01,8,10x,,,
001-01,9,10x,,,
001-01,10,10x,,,
001-02,1,10x,,,
001-02,2,10x,,,
001-02,3,10x,,,
001-02,4,10x,,,
001-02,5,10x,,,
001-02,6,10x,,,
001-02,7,10x,,,
001-02,8,10x,,,
001-02,9,10x,,,
001-02,10,10x,,,
001-03,1,2,,,
001-03,2,4,,,
001-03,3,6,,,
001-03,4,2,y,,
001-03,5,2,,,
001-04,1,13,,,
001-04,2,3,,,
001-05,5,16,,,
001-06,1,5,,,
001-06,2,11,,,
001-07,1,16,,,
001-08,1,4x,,,
001-08,2,4x,,,
001-08,3,4x,,,
001-08,4,4x,,,
001-09,1,15,,,
001-09,2,1,,,
001-10,1,10x,,,
001-10,2,10x,,,
001-10,3,10x,,,
001-10,4,10x,,,
001-10,5,10x,,,
001-10,6,10x,,,
001-10,7,10x,,,
001-10,8,10x,,,
001-10,9,10x,,,
001-10,10,10x,,,
001-11,1,8,,,
001-11,2,8,,,
001-12,1,8x,,,
001-12,2,8x,,,
001-12,3,8x,,,
001-12,4,8x,,,
001-12,5,8x,,,
001-12,6,8x,,,
001-12,7,8x,,,
001-12,8,8x,,,
001-13,1,11,,,
001-13,2,5,,,
001-14,1,11,,,
001-14,2,5,,,
001-15,1,7,,,
001-15,2,6,,,
001-15,3,3,,,
001-16,1,15,,,
001-16,2,1,,,
001-17,1,11,,,
001-17,2,5,,,
001-18,1,10x,,,
001-18,2,10x,,,
001-18,3,10x,,,
001-18,4,10x,,,
001-18,5,10x,,,
001-18,6,10x,,,
001-18,7,10x,,,
001-18,8,10x,,,
001-18,9,10x,,,
001-18,10,10x,,,
001-19,1,10x,,,
001-19,2,10x,,,
001-19,3,10x,,,
001-19,4,10x,,,
001-19,5,10x,,,
001-19,6,10x,,,
001-19,7,10x,,,
001-19,8,10x,,,
001-19,9,10x,,,
001-19,10,10x,,,
001-20,1,10x,,,
001-20,2,10x,,,
001-20,3,10x,,,
001-20,4,10x,,,
001-20,5,10x,,,
001-20,6,10x,,,
001-20,7,10x,,,
001-20,8,10x,,,
001-20,9,10x,,,
001-20,10,10x,,,
001-21,1,7,,,
001-21,2,9,,,
001-22,1,10x,,,
001-22,2,10x,,,
001-22,3,10x,,,
001-22,4,10x,,,
001-22,5,10x,,,
001-22,6,10x,,,
001-22,7,10x,,,
001-22,8,10x,,,
001-22,9,10x,,,
001-22,10,10x,,,
001-23,1,10x,,,
001-23,2,10x,,,
001-23,3,10x,,,
001-23,4,10x,,,
001-23,5,10x,,,
001-23,6,10x,,,
001-23,7,10x,,,
001-23,8,10x,,,
001-23,9,10x,,,
001-23,10,10x,,,
001-24,1,10x,,,
001-24,1,10x,,,
001-24,1,10x,,,
001-24,1,10x,,,
001-24,1,10x,,,
001-24,1,10x,,,
001-24,1,10x,,,
001-24,1,10x,,,
001-24,1,10x,,,
001-24,1,10x,,,
001-27,1,8,,,
001-27,2,8,,,
001-29,1,2,,,
001-29,2,6,,,
001-29,3,6,,,
001-29,4,2,,,
001-30,1,11,,,
001-30,2,5,,,
001-31,1,10x,,,
001-31,2,10x,,,
001-31,3,10x,,,
001-31,4,10x,,,
001-31,5,10x,,,
001-31,6,10x,,,
001-31,7,10x,,,
001-31,8,10x,,,
001-31,9,10x,,,
001-31,10,10x,,,
001-32,1,10x,,,
001-32,2,10x,,,
001-32,3,10x,,,
001-32,4,10x,,,
001-32,5,10x,,,
001-32,6,10x,,,
001-32,7,10x,,,
001-32,8,10x,,,
001-32,9,10x,,,
001-32,10,10x,,,
001-33,1,10x,,,
001-33,2,10x,,,
001-33,3,10x,,,
001-33,4,10x,,,
001-33,5,10x,,,
001-33,6,10x,,,
001-33,7,10x,,,
001-33,8,10x,,,
001-33,9,10x,,,
001-33,10,10x,,,
001-34,1,10x,,,
001-34,2,10x,,,
001-34,3,10x,,,
001-34,4,10x,,,
001-34,5,10x,,,
001-34,6,10x,,,
001-34,7,10x,,,
001-34,8,10x,,,
001-34,9,10x,,,
001-34,10,10x,,,
001-35,1,10x,,,
001-35,2,10x,,,
001-35,3,10x,,,
001-35,4,10x,,,
001-35,5,10x,,,
001-35,6,10x,,,
001-35,7,10x,,,
